Croatia,Europe,Southern Europe,1997,Apples,fruits,Production,57541.0
Hungary,Europe,Eastern Europe,1990,Sugar beet,Sugar crops,Production,4742660.0
Italy,Europe,Southern Europe,1990,Triticale,cereals,Production,10480.0
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,1993,Grapes,fruits,Area harvested,500.0
Belgium-Luxembourg,Europe,Western Europe,1968,Plums and sloes,fruits,Area harvested,700.0
Czechoslovakia,Europe,Eastern Europe,1990,Hemp tow waste,fibres,Production,0.0
Hungary,Europe,Eastern Europe,1991,Linseed,oil seeds,Production,12852.0
Slovakia,Europe,Eastern Europe,2013,Broad beans,Pulses,Production,480.0
France,Europe,Western Europe,1988,String beans,vegetables,Production,236000.0
France,Europe,Western Europe,1988,,,Area harvested,432948.0
Netherlands,Europe,Western Europe,2012,Asparagus,vegetables,Production,15700.0
Bulgaria,Europe,Eastern Europe,2006,Grapes,fruits,Production,307173.0
Russian Federation,Europe,Eastern Europe,2006,Pulses nes,Pulses,Area harvested,40000.0
Spain,Europe,Southern Europe,2004,Cauliflowers and broccoli,vegetables,Area harvested,25593.0
Luxembourg,Europe,Western Europe,2008,Cereals nes,cereals,Area harvested,27.0
Yugoslav SFR,Europe,Southern Europe,1988,Quinces,fruits,Area harvested,2270.0
North Macedonia,Europe,Southern Europe,2014,Rice,cereals,Area harvested,5174.0
Switzerland,Europe,Western Europe,2000,Potatoes,Roots and tubers,Area harvested,14153.0
Italy,Europe,Southern Europe,1966,Sweet potatoes,Roots and tubers,Area harvested,1983.0
Czechoslovakia,Europe,Eastern Europe,1986,Peas,Pulses,Production,176100.0
USSR,Europe,Eastern Europe,1985,Tomatoes,vegetables,Production,6900000.0
Italy,Europe,Southern Europe,1996,Vetches,Pulses,Production,6400.0
Albania,Europe,Southern Europe,2007,Vegetables,vegetables,Area harvested,800.0
Bulgaria,Europe,Eastern Europe,2006,Apples,fruits,Area harvested,2979.0
Greece,Europe,Southern Europe,1992,Pulses nes,Pulses,Area harvested,3126.0
Ukraine,Europe,Eastern Europe,2006,Grain,cereals,Production,7482.0
Germany,Europe,Western Europe,2014,Cherries,fruits,Production,17351.0
Italy,Europe,Southern Europe,1982,Sorghum,cereals,Production,101800.0
Germany,Europe,Western Europe,2016,Gooseberries,fruits,Production,85835.0
Ireland,Europe,Northern Europe,1963,Oats,cereals,Production,368300.0
Greece,Europe,Southern Europe,2003,Maize,vegetables,Area harvested,7568.0
Malta,Europe,Southern Europe,2016,Peas,vegetables,Production,75.0
Bulgaria,Europe,Eastern Europe,1991,Sugar beet,Sugar crops,Production,855985.0
Greece,Europe,Southern Europe,1970,Wheat,cereals,Production,1930736.0
Austria,Europe,Western Europe,1983,Chillies,vegetables,Production,3938.0
Hungary,Europe,Eastern Europe,2013,Potatoes,Roots and tubers,Production,487360.0
Russian Federation,Europe,Eastern Europe,2004,Apples,fruits,Production,2026000.0
Switzerland,Europe,Western Europe,1980,Spinach,vegetables,Production,9600.0
Greece,Europe,Southern Europe,1995,Almonds,Nuts,Production,57577.0
Belgium-Luxembourg,Europe,Western Europe,1979,Asparagus,vegetables,Production,450.0
Romania,Europe,Eastern Europe,2013,Triticale,cereals,Production,245027.0
Greece,Europe,Southern Europe,1988,Melons,fruits,Area harvested,9400.0
Sweden,Europe,Northern Europe,1977,Blueberries,fruits,Area harvested,3800.0
